city,lat,temp,humid,cloudy,windy
Dergachi,51.24,60.74,50,0,4.72
Mildura,-34.18,54.8,50,76,14.67
Mishelevka,52.86,48.77,100,20,3.15
Cotonou,6.37,78.8,88,40,12.75
Kidal,18.44,83.15,63,0,2.93
Abha,18.22,70.65,78,20,11.41
Abu Dhabi,24.47,92.34,63,0,5.82
Ellensburg,47.0,75.79,25,1,12.75
Pyaozerskiy,65.83,53.63,79,0,7.52
Huaral,-11.5,67.04,69,32,6.4
Turek,52.02,58.58,76,0,9.31
Meadow Lake,54.13,66.2,63,90,6.93
Rancho Palos Verdes,33.75,81.34,65,40,17.22
Yangjiang,21.85,79.46,100,88,14.9
Caohai,26.87,56.78,93,76,2.37
Sao Joao da Barra,-21.64,72.98,100,8,8.63
Klaeng,12.78,81.71,97,80,14.45
Nehe,48.48,60.02,94,20,10.09
Vostok,46.45,57.23,99,92,2.15
Bougouni,11.42,72.17,94,92,4.61
Hualmay,-11.1,67.04,69,32,6.4
Vanimo,-2.67,80.81,100,68,5.61
Uttarkashi,30.73,59.75,100,80,0.58
Mandan,46.83,72.91,100,1,3.36
Vilyuysk,63.75,52.64,91,44,3.49
Port Macquarie,-31.43,41.0,80,0,6.93
Gbadolite,4.28,71.9,95,32,2.26
Omagari,39.45,68.57,98,92,3.6
Atasu,48.68,49.76,94,8,10.76
Takaka,-40.86,49.58,100,92,4.72
Gillette,44.29,75.92,21,1,4.5
Ixtapa,20.71,87.8,55,90,3.36
Puerto Cabezas,14.04,87.8,74,40,11.41
Beloha,-25.17,58.67,82,0,8.19
Zasosna,50.63,66.23,37,32,7.4
Laval,45.58,75.13,83,90,14.99
Okmulgee,35.62,90.05,52,1,6.93
Bandiagara,14.35,77.66,84,0,5.73
Qasigiannguit,68.82,37.4,59,75,5.82
Shieli,44.18,59.21,51,0,10.65
Ontario,34.07,84.15,31,75,5.82
Benjamin Constant,-4.38,85.73,83,75,3.36
Carutapera,-1.2,82.52,72,12,10.31
Richmond,49.16,63.57,65,90,11.41
Piedade,-23.71,70.73,62,0,0.69
Garmsar,35.22,64.61,44,0,4.16
Labuhan,-2.54,69.11,99,76,1.25
Dvinskoy,62.16,50.57,87,0,6.06
Naifaru,5.44,81.17,100,80,12.55
Nanortalik,60.14,40.76,98,92,35.14
Ulverstone,-41.16,20.69,67,0,2.59
Msanga,-6.04,68.0,52,0,17.22
Aradeo,40.13,77.07,83,5,2.24
Bilibino,68.06,40.76,76,0,3.04
Nong Kung Si,16.65,77.0,88,75,6.93
Nynashamn,58.9,58.93,87,0,5.82
Monrovia,6.33,77.0,88,75,6.73
Inhambane,-23.87,66.2,72,75,6.96
Vao,59.1,57.95,89,92,6.73
Baruun-Urt,46.68,44.0,82,0,2.59
Sept-Iles,50.2,62.6,59,90,12.75
Traverse City,44.76,62.26,80,90,13.87
Aykhal,65.95,51.2,88,56,3.27
Mopti,14.49,79.28,87,0,3.6
Kenai,60.55,59.54,57,1,5.82
Sawakin,19.1,82.07,88,20,4.61
Wajid,3.81,72.71,74,64,12.44
Roald,62.58,52.99,81,75,14.99
Sabha,27.03,91.88,24,32,11.99
Progreso,-34.68,73.42,56,0,9.17
Inirida,3.87,77.48,89,80,2.82
Shubarshi,48.59,51.74,76,0,2.48
Usinsk,66.0,44.27,85,0,7.96
Mugango,-1.69,68.0,94,75,6.06
Bjornevatn,69.67,59.0,62,0,25.28
Meulaboh,4.14,77.93,100,48,3.94
Hovd,63.83,61.57,55,0,33.33
Kasane,-17.8,66.23,41,0,7.85
Alenquer,-1.95,79.28,81,44,2.59
Zhigansk,66.77,51.38,81,80,6.62
Fort Nelson,58.81,51.8,93,90,12.75
Tazovskiy,67.47,44.36,79,48,14.67
Ilhabela,-23.78,69.38,95,0,14.45
Caucaia,-3.73,84.2,62,0,12.75
Senekal,-28.32,40.4,63,0,2.71
Tenenkou,14.46,79.37,85,0,4.61
Chulym,55.09,52.55,92,44,3.15
Manta,45.1,62.0,91,48,2.59
Oistins,13.07,86.0,74,40,14.99
Charagua,-19.79,95.0,20,0,11.41
Mocuba,-16.84,66.41,97,92,5.28
Walvis Bay,-22.95,62.45,88,0,9.19
Brae,60.4,52.84,76,88,14.99
Cartagena del Chaira,1.33,87.38,58,12,2.93
Diego de Almagro,-26.39,65.15,69,0,2.93
Saint-Georges,46.12,76.49,77,64,10.54
Matagami,9.67,69.2,99,92,2.71
Pacocha,-1.05,77.0,78,90,10.29
Trelleborg,55.38,60.84,87,0,6.93
Port Hardy,50.7,59.0,93,90,6.93
Abu Kamal,34.45,87.02,25,0,9.42
Boyolangu,-8.09,65.78,91,36,4.61
Tiznit,29.7,71.63,89,0,4.61
Nelson,49.49,71.6,43,75,4.7
Vagur,61.47,52.91,96,88,16.24
Morgan City,29.7,82.24,82,20,10.29
Coria,39.98,75.23,42,0,8.41
Mineiros,-17.57,85.67,27,64,5.28
Spencer,43.14,70.12,56,40,3.36
Iskateley,67.68,48.77,89,44,9.64
Jiayuguan,39.77,53.9,86,76,2.71
Geraldton,49.72,57.2,54,75,6.93
Bontang,0.12,77.93,100,44,5.17
Kashan,33.99,75.5,23,12,6.4
Aleksandrov Gay,50.14,64.7,36,8,10.2
Solnechnyy,50.72,57.77,100,92,4.61
Lasa,34.92,80.01,69,40,4.7
Berlevag,70.86,56.98,72,40,8.05
Mantua,45.16,76.69,60,0,4.7
Jalu,29.03,79.73,46,20,4.94
Tautira,-17.73,75.2,83,75,11.41
Vryburg,-26.96,49.22,51,0,9.19
Santa Rosalia,38.07,77.0,78,0,10.29
Luanda,-8.83,71.6,78,75,4.7
Gusinoye Ozero,51.11,58.85,97,92,3.15
North Myrtle Beach,33.83,87.28,67,1,11.41
